Levels/World3/Level04.lua,35,__<7@_r=>L>_|<=7<7L=>|n|n<=J||L===JV	
Levels/World3/Level05.lua,23,r===7n|<7_||L>|_||r>|@|||<J_||L===JV	
Levels/World3/Level06.lua,17,r>nr=>L=J|<7_r>L>|@Vnr=J<7|Vn_<JL=J_	
Levels/World3/Level07.lua,29,__r==>_rJ<=7@Vr=>V__|<=7__|r=J__VL=>	
Levels/World3/Level08.lua,35,r=7r>n|rJL7|VL><JV<=7r7_r=J||@L><JL>	
Levels/World3/Level09.lua,35,_<===7n@r=>V|rJ_<7||_r>||VnVrJL>L=J_	
Levels/World3/Level10.lua,35,__@___r=><=7|<==>|L=><=Jr====7L>__<J	
Levels/World3/Level11.lua,35,r7@_r7|L7rJ||_LJ_|L7<>rJnL7rJnL>VV<J	
Levels/World3/Level12.lua,23,_<7nr>n@|||_L=JVL><====>r===>_L====>	
Levels/World3/Level13.lua,24,<><>_@<7<7r>L>||<7<JL>L>_	
Levels/World3/Level14.lua,14,<>n<7@n|nVn|V|_VVnVn_<J<J	
Levels/World3/Level15.lua,23,___<=7r====J|@nnr7|_LJVVL====7___<=J	
Levels/World3/Level16.lua,35,@nr7r7rJV||||_nVV|VrJ<=J_|_r7_<J<JV_	
Levels/World3/Level17.lua,24,@<==7r===JL=>r>___Vn__<=J	
Levels/World3/Level18.lua,23,_@_n_nnr7L7|||VrJ|||<Jn|VL>_|V<===J_	
Levels/World3/Level19.lua,14,r==7_|@rJ_VrJ__n|_r>LJ_L>	
