Levels/World1/Level16.lua,24,_r=>n_|_n|nV@|||<=J|L===J	
Levels/World1/Level17.lua,24,_____r==7nL>@||<==J|<=><J	
Levels/World1/Level18.lua,14,_<=7_<=7|__@||_<=J|__<=J_	
Levels/World1/Level19.lua,24,r7@r7||_||||<JVVL>r7__<JV	
Levels/World1/Level20.lua,24,_<==7nr=7|||@V||L>_|L===J	
Levels/World1/Level21.lua,14,_nnnn_LJ||@r=J|_|r7|_VVVV	
Levels/World1/Level22.lua,14,nr>n_V|<J_@|<=>n|<7_VL>V_	
Levels/World1/Level23.lua,24,@_<=>__r=7r>|_||_|<JL=J__	
Levels/World1/Level24.lua,24,r==>n|_@_|Vr==J_L><7<===J	
Levels/World1/Level25.lua,14,<7nr><J|L>@_|__<7|r><JVL>
